epoch,mAP@50,mAP,mAP_RTTS,mAP_Foggy,PSNR,SSIM,detection_loss,dehazing_loss,valid_detection_loss,valid_dehazing_loss,loss,valid_loss
001,0.003241,0.0010,0.011029,0.005536,19.7965,0.8720,4.151,0.261,11.413,0.102,3.373,9.151
002,0.060058,0.0258,0.105126,0.074824,20.2187,0.8835,4.275,0.139,8.542,0.089,3.448,6.851
003,0.287871,0.1558,0.311874,0.175098,20.2792,0.8794,4.218,0.133,5.348,0.089,3.401,4.296
004,0.289670,0.1690,0.260381,0.129504,20.7829,0.8881,4.080,0.131,5.082,0.082,3.290,4.082
005,0.536752,0.3533,0.329222,0.183820,20.7085,0.8968,3.967,0.130,3.923,0.076,3.200,3.153
006,0.600221,0.4081,0.383985,0.189142,20.8727,0.8927,3.850,0.128,3.663,0.078,3.105,2.946
007,0.620969,0.4210,0.419892,0.177725,21.0512,0.8923,3.753,0.127,3.676,0.075,3.028,2.956
008,0.618941,0.4297,0.417685,0.190305,20.8446,0.8888,3.679,0.129,3.558,0.074,2.969,2.862
009,0.657326,0.4560,0.417391,0.205102,21.0723,0.9011,3.617,0.125,3.508,0.070,2.919,2.820
010,0.653605,0.4566,0.429123,0.199005,21.2463,0.9016,3.551,0.124,3.435,0.073,2.865,2.763
011,0.638744,0.4488,0.432197,0.211800,20.9610,0.8969,3.513,0.124,3.439,0.074,2.835,2.766
012,0.647018,0.4613,0.437503,0.207405,21.6353,0.9006,3.468,0.122,3.357,0.069,2.799,2.699
013,0.670426,0.4844,0.449381,0.218020,21.7502,0.9054,3.417,0.122,3.287,0.067,2.758,2.643
014,0.677591,0.4974,0.459944,0.212990,21.8073,0.9033,3.433,0.122,3.298,0.068,2.771,2.652
015,0.675609,0.4868,0.445264,0.237301,21.7681,0.9081,3.372,0.120,3.237,0.065,2.721,2.602
016,0.692684,0.5042,0.446937,0.217632,21.6843,0.9050,3.336,0.122,3.208,0.068,2.693,2.580
017,0.659007,0.4750,0.438550,0.228709,21.6706,0.9031,3.313,0.120,3.243,0.068,2.674,2.608
018,0.693468,0.4946,0.464613,0.226679,21.3934,0.9013,3.322,0.120,3.250,0.070,2.681,2.614
019,0.716075,0.5265,0.496292,0.237555,21.6832,0.9041,3.265,0.120,3.131,0.067,2.636,2.518
020,0.707520,0.5268,0.451220,0.213954,21.5620,0.9017,3.240,0.119,3.135,0.067,2.615,2.522
021,0.704288,0.5239,0.459439,0.243858,22.0597,0.9082,3.205,0.119,3.094,0.064,2.588,2.488
022,0.706111,0.5170,0.513016,0.269405,21.8458,0.9061,3.191,0.118,3.082,0.065,2.576,2.479
023,0.719377,0.5339,0.480548,0.251962,21.9649,0.9108,3.171,0.118,3.042,0.063,2.560,2.447
024,0.708080,0.5266,0.474828,0.237592,22.0678,0.9066,3.148,0.118,3.014,0.065,2.542,2.424
025,0.729845,0.5491,0.498000,0.275421,22.0490,0.9123,3.116,0.117,3.002,0.064,2.516,2.414
026,0.735121,0.5420,0.518798,0.265696,21.9520,0.9081,3.098,0.116,2.992,0.066,2.502,2.407
027,0.735141,0.5521,0.495645,0.255685,22.0302,0.9107,3.068,0.116,2.951,0.064,2.477,2.373
028,0.721970,0.5443,0.506359,0.270604,22.0850,0.9076,3.059,0.116,2.943,0.066,2.470,2.368
029,0.735353,0.5613,0.482793,0.274863,21.9892,0.9085,3.028,0.116,2.945,0.064,2.446,2.369
030,0.725814,0.5535,0.499489,0.288363,22.2148,0.9102,3.011,0.116,2.910,0.063,2.432,2.341
031,0.736250,0.5620,0.527595,0.288441,22.4164,0.9132,3.002,0.116,2.931,0.063,2.425,2.357
032,0.738608,0.5562,0.529232,0.343411,22.0144,0.9089,2.995,0.117,2.927,0.066,2.419,2.355
033,0.749863,0.5716,0.526270,0.318983,22.3909,0.9123,2.991,0.115,2.889,0.063,2.416,2.324
034,0.749654,0.5668,0.517766,0.309975,22.4123,0.9126,2.936,0.115,2.915,0.064,2.372,2.345
035,0.750223,0.5729,0.534194,0.335966,22.2892,0.9107,2.943,0.116,2.870,0.063,2.378,2.308
036,0.738891,0.5662,0.522809,0.317990,22.1384,0.9088,2.927,0.116,2.850,0.065,2.365,2.293
037,0.754924,0.5700,0.532033,0.299942,22.5970,0.9144,2.934,0.115,2.862,0.063,2.370,2.302
038,0.751988,0.5690,0.527225,0.316069,22.3200,0.9127,2.893,0.115,2.848,0.063,2.337,2.291
039,0.749718,0.5702,0.528624,0.328148,22.8244,0.9187,2.869,0.115,2.858,0.059,2.319,2.298
040,0.753196,0.5684,0.531144,0.344189,22.7068,0.9147,2.835,0.114,2.837,0.061,2.291,2.282
041,0.750514,0.5683,0.530070,0.319596,22.6423,0.9140,2.835,0.114,2.807,0.062,2.291,2.258
042,0.752768,0.5792,0.524688,0.334299,22.6723,0.9164,2.818,0.115,2.813,0.060,2.278,2.262
043,0.758523,0.5809,0.530030,0.328059,inf,0.9135,2.803,0.114,2.806,0.061,2.265,2.257
044,0.752872,0.5765,0.530689,0.335060,22.4533,0.9141,2.784,0.113,2.799,0.061,2.250,2.252
045,0.758359,0.5868,0.538407,0.328348,22.4910,0.9130,2.766,0.114,2.798,0.062,2.236,2.251
046,0.758659,0.5879,0.517277,0.330120,22.4505,0.9122,2.753,0.111,2.798,0.062,2.224,2.251
047,0.760723,0.5883,0.527452,0.329105,22.7492,0.9144,2.746,0.113,2.804,0.062,2.219,2.256
048,0.764028,0.5917,0.528605,0.339024,22.6804,0.9127,2.711,0.113,2.791,0.062,2.192,2.245
049,0.766740,0.5932,0.531160,0.310441,22.3236,0.9087,2.716,0.112,2.758,0.065,2.195,2.220
050,0.768071,0.5916,0.536232,0.335611,22.6433,0.9113,2.709,0.111,2.782,0.064,2.189,2.239
051,0.768811,0.5920,0.536930,0.324111,inf,0.9127,2.683,0.111,2.767,0.063,2.169,2.226
052,0.775286,0.5974,0.534933,0.328981,22.6162,0.9110,2.648,0.111,2.773,0.064,2.141,2.231
053,0.772172,0.5979,0.523397,0.344291,22.6244,0.9121,2.653,0.112,2.763,0.063,2.145,2.223
054,0.775073,0.5991,0.528713,0.323915,22.6688,0.9126,2.633,0.112,2.760,0.063,2.128,2.220
055,0.779846,0.6008,0.535012,0.319005,22.5596,0.9121,2.637,0.111,2.749,0.063,2.131,2.212
056,0.775551,0.6018,0.532205,0.306417,22.6637,0.9137,2.611,0.111,2.759,0.062,2.111,2.220
